,Player,G,MP,FG,FGA,3P,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FT%,FG%,d_FG%,d_FT%
0,Precious Achiuwa,17.0,426.0,59.0,147.0,0.4117647058823529,16.0,29.0,35.0,102.0,8.058823529411764,1.6470588235294117,0.5294117647058824,0.5882352941176471,1.0,39.0,8.294117647058824,55.172413793103445,40.136054421768705,-244.98973480854494,-318.07156239722553
1,Steven Adams,19.0,465.0,48.0,96.0,0.0,32.0,46.0,67.0,81.0,7.7894736842105265,2.736842105263158,0.7894736842105263,0.6842105263157895,1.4736842105263157,32.0,6.7368421052631575,69.56521739130434,50.0,274.1557051989978,-175.5734096520223
2,Bam Adebayo,16.0,524.0,111.0,215.0,0.0,82.0,106.0,42.0,121.0,10.1875,2.8125,1.1875,0.375,2.9375,52.0,19.0,77.35849056603773,51.627906976744185,814.682742691287,189.14153809483054
3,Santi Aldama,8.0,59.0,10.0,26.0,0.25,3.0,5.0,5.0,9.0,1.75,0.875,0.0,0.0,0.0,6.0,3.125,60.0,38.46153846153846,-58.26884346815753,-45.15565932879012
4,LaMarcus Aldridge,18.0,392.0,104.0,181.0,0.5,28.0,36.0,29.0,78.0,5.944444444444445,0.8888888888888888,0.3333333333333333,1.1666666666666667,0.6666666666666666,30.0,13.61111111111111,77.77777777777777,57.4585635359116,1369.6946356659685,76.32495737573646
5,Nickeil Alexander-Walker,21.0,620.0,113.0,299.0,2.0952380952380953,34.0,44.0,24.0,70.0,4.476190476190476,2.5714285714285716,1.0,0.42857142857142855,1.5238095238095237,39.0,14.476190476190476,77.27272727272727,37.792642140468224,-734.0232154711167,75.50858821310567
6,Grayson Allen,20.0,574.0,95.0,213.0,3.25,28.0,31.0,11.0,67.0,3.9,1.3,0.6,0.25,0.65,33.0,14.15,90.3225806451613,44.60093896713615,29.68903508428422,427.57943766247513
7,Jarrett Allen,16.0,528.0,100.0,146.0,0.0625,43.0,69.0,55.0,124.0,11.1875,1.75,1.0625,0.875,2.0625,27.0,15.25,62.31884057971015,68.4931506849315,2420.4727876577294,-547.5209721184553
8,Jose Alvarado,5.0,26.0,3.0,9.0,0.2,0.0,0.0,1.0,2.0,0.6,0.6,0.4,0.0,0.0,3.0,1.4,,33.333333333333336,-32.86526842506263,
9,Kyle Anderson,19.0,417.0,61.0,143.0,0.8947368421052632,13.0,17.0,20.0,80.0,5.2631578947368425,2.4210526315789473,0.8421052631578947,0.42105263157894735,0.9473684210526315,28.0,8.0,76.47058823529412,42.65734265734266,-99.49588921170471,18.443123300732978
10,Giannis Antetokounmpo,19.0,616.0,181.0,348.0,1.2105263157894737,129.0,191.0,32.0,191.0,11.736842105263158,6.0,1.1578947368421053,1.8421052631578947,2.9473684210526314,56.0,27.05263157894737,67.53926701570681,52.01149425287356,1397.875931458002,-969.1279061117964
11,Thanasis Antetokounmpo,17.0,230.0,25.0,54.0,0.0,10.0,17.0,19.0,38.0,3.3529411764705883,0.8235294117647058,0.5294117647058824,0.11764705882352941,0.6470588235294118,32.0,3.5294117647058822,58.8235294117647,46.2962962962963,50.196837198552124,-162.28357031165336
