,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Precious Achiuwa,PF,21.0,MIA,26.0,2.0,379.0,63.0,109.0,0.578,0.0,0.0,,63.0,109.0,0.578,0.578,34.0,63.0,0.54,36.0,69.0,105.0,17.0,10.0,15.0,29.0,50.0,160.0
1,Jaylen Adams,PG,24.0,MIL,6.0,0.0,17.0,1.0,8.0,0.125,0.0,2.0,0.0,1.0,6.0,0.167,0.125,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0
2,Steven Adams,C,27.0,NOP,24.0,24.0,697.0,84.0,143.0,0.587,0.0,1.0,0.0,84.0,142.0,0.592,0.587,26.0,55.0,0.473,103.0,114.0,217.0,56.0,23.0,13.0,44.0,47.0,194.0
3,Bam Adebayo,C,23.0,MIA,24.0,24.0,803.0,170.0,304.0,0.559,2.0,5.0,0.4,168.0,299.0,0.562,0.563,125.0,147.0,0.85,45.0,178.0,223.0,125.0,24.0,23.0,72.0,59.0,467.0
4,LaMarcus Aldridge,C,35.0,SAS,18.0,18.0,480.0,107.0,225.0,0.476,24.0,67.0,0.358,83.0,158.0,0.525,0.529,16.0,21.0,0.762,15.0,63.0,78.0,35.0,7.0,16.0,16.0,27.0,254.0
5,Ty-Shon Alexander,SG,22.0,PHO,3.0,0.0,8.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
6,Nickeil Alexander-Walker,SG,22.0,NOP,21.0,3.0,429.0,73.0,184.0,0.397,23.0,86.0,0.267,50.0,98.0,0.51,0.459,25.0,32.0,0.781,4.0,54.0,58.0,45.0,25.0,8.0,30.0,38.0,194.0
7,Grayson Allen,SG,25.0,MEM,16.0,5.0,365.0,46.0,113.0,0.407,34.0,83.0,0.41,12.0,30.0,0.4,0.558,31.0,35.0,0.886,7.0,39.0,46.0,30.0,17.0,3.0,19.0,21.0,157.0
8,Jarrett Allen,C,22.0,TOT,26.0,8.0,677.0,111.0,168.0,0.661,1.0,4.0,0.25,110.0,164.0,0.671,0.664,94.0,125.0,0.752,76.0,152.0,228.0,41.0,12.0,44.0,38.0,41.0,317.0
9,Al-Farouq Aminu,PF,30.0,ORL,1.0,0.0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
10,Kyle Anderson,PF,27.0,MEM,21.0,21.0,594.0,101.0,224.0,0.451,33.0,92.0,0.359,68.0,132.0,0.515,0.525,39.0,50.0,0.78,21.0,112.0,133.0,80.0,17.0,16.0,32.0,36.0,274.0
11,Giannis Antetokounmpo,PF,26.0,MIL,25.0,25.0,833.0,258.0,458.0,0.563,28.0,100.0,0.28,230.0,358.0,0.642,0.594,159.0,251.0,0.633,43.0,238.0,281.0,139.0,26.0,31.0,89.0,77.0,703.0
12,Kostas Antetokounmpo,PF,23.0,LAL,1.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0
13,Thanasis Antetokounmpo,SF,28.0,MIL,17.0,0.0,149.0,17.0,26.0,0.654,2.0,7.0,0.286,15.0,19.0,0.789,0.692,4.0,7.0,0.571,13.0,18.0,31.0,15.0,5.0,3.0,15.0,25.0,40.0
14,Carmelo Anthony,PF,36.0,POR,24.0,3.0,605.0,109.0,273.0,0.399,42.0,107.0,0.393,67.0,166.0,0.404,0.476,63.0,74.0,0.851,11.0,71.0,82.0,28.0,20.0,20.0,21.0,48.0,323.0
15,Cole Anthony,PG,20.0,ORL,25.0,17.0,667.0,101.0,269.0,0.375,27.0,83.0,0.325,74.0,186.0,0.398,0.426,46.0,55.0,0.836,20.0,91.0,111.0,94.0,17.0,11.0,51.0,51.0,275.0
16,OG Anunoby,SF,23.0,TOR,17.0,17.0,592.0,86.0,177.0,0.486,42.0,97.0,0.433,44.0,80.0,0.55,0.605,35.0,47.0,0.745,27.0,72.0,99.0,27.0,35.0,9.0,30.0,49.0,249.0
